научный_руководитель;ученая_степень;место_работы;должность
Апанович Зинаида Владимировна;к.ф-м.н.;Кафедра программирования ММФ;доцент
Бернштейн Юрий Борисович;к.т.н.;Кафедра систем информатики ФИТ НГУ;доцент
Борзов Сергей Михайлович;к.т.н.;ИАиЭ СО РАН;заведующий лабораторией
Быстров Александр Васильевич;к.ф-м.н.;Кафедра систем информатики ФИТ;доцент
Власов Александр Александрович;к.т.н.;Кафедра систем информатики ФИТ;доцент
Грозин Андрей Генадьевич;д.ф.-м.н.;Кафедра физико-технической информатики ФФ;доцент
Иртегов Дмитрий Валентинович;б/с;Экспериментальная лаборатория ФИТ;заведующий лабораторией
Исаева Надежда Александровна;к.э.н.;Кафедра моделирования и управления промышленным производством ЭФ;доцент
Лях Татьяна Викторовна;б/с;Кафедра общей информатики ФИТ;ассистент
Малышкин Виктор Эммануилович;д.т.н;Кафедра параллельных вычислений ФИТ;зав. Кафедрой
Миронова Виктория Владимировна;к.б.н;КафЦиГ ФЕН НГУ;старший преподаватель
Павловский Евгений Николаевич;к.ф-м.н.;НГУ;заведующий лабораторией ЛАПДиМО
Пальчунов Дмитрий Евгеньевич;д.ф.-м.н.;Кафедра общей информатики ФИТ;зав. кафедрой
Пищик Борис Николаевич;к.т.н.;Кафедра компьютерных систем ФИТ;зав. кафедрой
Розов Андрей Сергеевич;б/с;Кафедра компьютерных технологий ФИТ;ассистент
Романенко Алексей Анатольевич;к.т.н.;Кафедра систем информатики ФИТ;доцент
Рябко Борис Яковлевич;д.т.н;Кафедра компьютерных систем ФИТ;профессор
Савостьянов Александр Николаевич;д.ф.н.;Кафедра общей информатики ФИТ;профессор
Яхъяева Гульнара Эркиновна;к.ф-м.н.;Кафедра общей информатики ФИТ;доцент
